gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,nitegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,cj,alt,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,first,ob,score,vscore,hscore,clock,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,10,HD35,"V,1,10,V35","0,1,0",CMT:,,"V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,10,HD35,"V,1,10,V35","0,2,3","SPOT:H,H35,N KO:85,V06 RET:32,V23 TACK:90","BD ball on BD35, J. Llinas kickoff 59 yards to the HD6, J. Hummel return 17 yards to the HD23 (A. Fernandez).","V,1,10,V23",K,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,10,HD23,"V,1,10,V23","1,1,4","RUSH:31,V31, TACK:90",31 rush for 8 yards to the HD31 (A. Fernandez).,"V,2,2,V31",R,NA,NA,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,2,2,HD31,"V,2,2,V31","1,2,5","PASS:10,C,11,V39 TACK:20,45","J. Clark pass complete to B. Mau for 8 yards to the HD39, 1ST DOWN HD (L. Masero;A. Posito).","V,1,10,V39",P,P,NA,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,10,HD39,"V,1,10,V39","1,3,6","PASS:10,C,11,H30 OB:","J. Clark pass complete to B. Mau for 31 yards to the BD30, 1ST DOWN HD, out-of-bounds.","V,1,10,H30",P,P,Y,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,10,BD30,"V,1,10,H30","1,4,7","RUSH:24,H23, TACK:7,93",X. Johnson rush for 7 yards to the BD23 (M. Tavarres;A. Pinheiro).,"V,2,3,H23",R,NA,NA,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,2,3,BD23,"V,2,3,H23","1,5,8","RUSH:24,H06, TACK:93","X. Johnson rush for 17 yards to the BD6, 1ST DOWN HD (A. Pinheiro).","V,1,0,H06",R,R,NA,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,0,BD06,"V,1,0,H06","1,6,9","RUSH:24,H06, TACK:10,33",X. Johnson rush for no gain to the BD6 (C. Brugnani;T. Debiez).,"V,2,0,H06",R,NA,NA,NA,NA,NA,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,2,0,BD06,"V,2,0,H06","1,7,10","PASS:10,C,44,H00 T:10:47","J. Clark pass complete to J. Kruse for 6 yards to the BD0, TOUCHDOWN, clock 10:47.","V,1,0,H03",P,NA,NA,Y,6,0,10:47,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
BDHD2103,HD,BD,Hamburg Sea Devils,Barcelona Dragons,7/3/2021,Reus,Estadio municipal,19:00,,Y,Y,,0,26 C,no wind,mostly sunny,R.Miras,D.Clemence,J.Fernandez,M.Exposito,A.Gurbiersch,C.Beckmann,V.Cobas,J.Lanz,J.Lanz,HD,1,0,BD03,"V,1,0,H03","1,8,11","PAT:K,4,G",P. Andersen kick attempt good.,"V,1,0,V35",X,NA,NA,Y,7,0,NA,NA,1,V,HD,"KO,1,15:00,23","TD,1,10:47,100",7,77,4:13,KO,1,15:00,HD23,TD,1,10:47,BD00,1
