gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,nitegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,ob,clock,first,turnover,score,vscore,hscore,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS35,"V,1,10,V35","0,1,0","CMT:SS wins coin toss and elects to defend N goal, BD to receive","SS wins coin toss and elects to defend N goal, BD to receive","V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS35,"V,1,10,V35","0,2,1","SPOT:V,V35,N",SS ball on SS35.,"V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS35,"V,1,10,V35","0,3,2","KO:3,H04 RET:5,H10 OB:","T. Bronn kickoff 61 yards to the BD4, J. Constant return 6 yards to the BD10, out-of-bounds.","H,1,10,H10",K,Y,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,10,BD10,"H,1,10,H10","1,1,3","PASS:1,I,4,*",Z. Edwards pass incomplete to R. Bertellin.,"H,2,10,H10",P,NA,NA,NA,NA,NA,NA,NA,1,H,BD,"KO,1,15:00,10","PUNT,1,12:23,18",3,8,2:37,KO,1,15:00,BD10,PUNT,1,12:23,BD18,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,2,10,BD10,"H,2,10,H10","1,2,4","RUSH:21,H15, TACK:45",A. Monton rush for 5 yards to the BD15 (N. Hamulic).,"H,3,5,H15",R,NA,NA,NA,NA,NA,NA,NA,1,H,BD,"KO,1,15:00,10","PUNT,1,12:23,18",3,8,2:37,KO,1,15:00,BD10,PUNT,1,12:23,BD18,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,3,5,BD15,"H,3,5,H15","1,3,5","RUSH:21,H18, TACK:45,5",A. Monton rush for 3 yards to the BD18 (N. Hamulic;D. Meza).,"H,4,2,H18",R,NA,NA,NA,NA,NA,NA,NA,1,H,BD,"KO,1,15:00,10","PUNT,1,12:23,18",3,8,2:37,KO,1,15:00,BD10,PUNT,1,12:23,BD18,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,4,2,BD18,"H,4,2,H18","1,4,6","PUNT:18,V44 PEN:V,PF,A,30,V29,N D:1,10 SPOT:V,V29,Y","C. Manser punt 38 yards to the SS44, PENALTY SS personal foul (T. Becker) 15 yards to the SS29, 1st and 10, SS ball on SS29.","V,1,10,V29",U,NA,NA,NA,NA,NA,NA,NA,1,H,BD,"KO,1,15:00,10","PUNT,1,12:23,18",3,8,2:37,KO,1,15:00,BD10,PUNT,1,12:23,BD18,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS29,"V,1,10,V29","2,1,7",{DRIVE}:12:23,STUTTGART SURGE drive start at 12:23.,"V,1,10,V29",NA,NA,12:23,NA,NA,NA,NA,NA,2,V,SS,"PUNT,1,12:23,29","INT,1,10:03,43",4,14,2:20,PUNT,1,12:23,SS29,INT,1,10:03,SS43,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS29,"V,1,10,V29","2,2,8","PASS:6,C,37,V40 TACK:8","J. Wright pass complete to K. Bannasch for 11 yards to the SS40, 1ST DOWN SS (T. Costa).","V,1,10,V40",P,NA,NA,P,NA,NA,NA,NA,2,V,SS,"PUNT,1,12:23,29","INT,1,10:03,43",4,14,2:20,PUNT,1,12:23,SS29,INT,1,10:03,SS43,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,1,10,SS40,"V,1,10,V40","2,3,9","RUSH:6,V39, TACK:7,93",J. Wright rush for loss of 1 yard to the SS39 (M. Tavarres;A. Pinheiro).,"V,2,11,V39",R,NA,NA,NA,NA,NA,NA,NA,2,V,SS,"PUNT,1,12:23,29","INT,1,10:03,43",4,14,2:20,PUNT,1,12:23,SS29,INT,1,10:03,SS43,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,2,11,SS39,"V,2,11,V39","2,4,10","RUSH:27,V43, TACK:33",S. Shannon rush for 4 yards to the SS43 (T. Debiez).,"V,3,7,V43",R,NA,NA,NA,NA,NA,NA,NA,2,V,SS,"PUNT,1,12:23,29","INT,1,10:03,43",4,14,2:20,PUNT,1,12:23,SS29,INT,1,10:03,SS43,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,SS,3,7,SS43,"V,3,7,V43","2,5,11","PASS:6,X,23,H25 RET:23,H25","J. Wright pass intercepted by J. Brugnani at the BD25, J. Brugnani return 0 yards to the BD25.","H,1,10,H25",P,NA,NA,NA,I,NA,NA,NA,2,V,SS,"PUNT,1,12:23,29","INT,1,10:03,43",4,14,2:20,PUNT,1,12:23,SS29,INT,1,10:03,SS43,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,10,BD25,"H,1,10,H25","3,1,12",{DRIVE}:10:03,BARCELONA DRAGONS drive start at 10:03.,"H,1,10,H25",NA,NA,10:03,NA,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,10,BD25,"H,1,10,H25","3,2,13","PASS:1,C,5,H45 OB:","Z. Edwards pass complete to J. Constant for 20 yards to the BD45, 1ST DOWN BD, out-of-bounds.","H,1,10,H45",P,Y,NA,P,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,10,BD45,"H,1,10,H45","3,3,14","PASS:1,C,4,V41 TACK:23","Z. Edwards pass complete to R. Bertellin for 14 yards to the SS41, 1ST DOWN BD (M. Dabo).","H,1,10,V41",P,NA,NA,P,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,10,SS41,"H,1,10,V41","3,4,15","PEN:H,DG,A,1,V46,N",PENALTY BD delay of game (Z. Edwards) 5 yards to the SS46.,"H,1,15,V46",E,NA,NA,NA,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,1,15,SS46,"H,1,15,V46","3,5,16","PASS:1,C,5,V34 TACK:45",Z. Edwards pass complete to J. Constant for 12 yards to the SS34 (N. Hamulic).,"H,2,3,V34",P,NA,NA,NA,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,2,3,SS34,"H,2,3,V34","3,6,17","RUSH:1,V33, TACK:99",Z. Edwards rush for 1 yard to the SS33 (S. Vardar).,"H,3,2,V33",R,NA,NA,NA,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
BDSS2101,SS,BD,Stuttgart Surge,Barcelona Dragons,6/19/2021,Barcelona,Camp Municipal Reus,19:00,21:45,Y,Y,2:45,1100,24,,cloudy,Z. Hamiko,R. Miras,J. Fernandez F.,H. Horak,J. Scott,A. Flaisch-J.,V. Cobas Otero,BD,3,2,SS33,"H,3,2,V33","3,7,18","RUSH:17,V32, TACK:44",A. Herrero rush for 1 yard to the SS32 (J. Mbala).,"H,4,1,V32",R,NA,NA,NA,NA,NA,NA,NA,3,H,BD,"INT,1,10:03,25","DOWNS,1,05:44,66",6,41,4:19,INT,1,10:03,BD25,DOWNS,1,05:44,SS34,NA
