gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,cj,alt,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,first,ob,clock,score,vscore,hscore,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,1,10,LK35,"V,1,10,V35","0,1,0","CMT:BT wins the coin toss, defers, LK elect to receive, BT to defend west","BT wins the coin toss, defers, LK elect to receive, BT to defend west","V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,1,10,LK35,"V,1,10,V35","0,2,1","SPOT:H,H35,N",BT ball on BT35.,"H,1,10,H35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,BT,1,10,BT35,"H,1,10,H35","0,3,2","KO:26,V00 TB:","J. Schenderlein kickoff 65 yards to the LK0, touchback.","V,1,10,V25",K,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,1,10,LK25,"V,1,10,V25","1,1,3","PASS:3,I,11,* BRUP:45",M. Birdsong pass incomplete to A. Dable-Wolf (K. Hill).,"V,2,10,V25",P,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,2,10,LK25,"V,2,10,V25","1,2,4","RUSH:22,V27, TACK:22",R. Sobowale rush for 2 yards to the LK27 (L. Achaintre).,"V,3,8,V27",R,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,3,8,LK27,"V,3,8,V27","1,3,5","RUSH:3,V39, OB: TACK:52","M. Birdsong rush for 12 yards to the LK39, 1ST DOWN LK, out-of-bounds (W. Nasri).","V,1,10,V39",R,R,Y,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,1,10,LK39,"V,1,10,V39","1,4,6","PASS:3,I,11,*",M. Birdsong pass incomplete to A. Dable-Wolf.,"V,2,10,V39",P,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,2,10,LK39,"V,2,10,V39","1,5,7","PASS:3,C,84,V41 TACK:52",M. Birdsong pass complete to Y. Omi for 2 yards to the LK41 (W. Nasri).,"V,3,8,V41",P,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,3,8,LK41,"V,3,8,V41","1,6,8","PASS:3,I,11,* BRUP:24",M. Birdsong pass incomplete to A. Dable-Wolf (M. De Falcis).,"V,4,8,V41",P,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
BTLK2101,LK,BT,Leipzig Kings,Berlin Thunder,6/20/2021,Berlin,Stadion am Wurfplatz,15:00,18:47,Y,03:47,700,34 C,SW,partly cloudy,T. Denker,M. Kattillus,M. Berger,B. SChaumberg,A. Gurbiersch,C. Beckmann,E. Christensen,H. Neumann,H. Neumann,LK,4,8,LK41,"V,4,8,V41","1,7,9","PUNT:1,H15",J. Templar punt 44 yards to the BT15.,"H,1,10,H15",U,NA,NA,NA,NA,NA,NA,NA,1,V,LK,"KO,1,15:00,25","PUNT,1,12:30,41",6,16,2:30,KO,1,15:00,LK25,PUNT,1,12:30,LK41,NA
