gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,cj,alt,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,first,ob,clock,score,vscore,hscore,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,1,10,SS35,"V,1,10,V35","0,1,0",CMT:coin toss,coin toss,"V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,1,10,SS35,"V,1,10,V35","0,2,2","SPOT:H,H35,N",BT ball on BT35.,"H,1,10,H35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,BT,1,10,BT35,"H,1,10,H35","0,3,3","KO:26,V02 RET:4,V19 TACK:31","J. Schenderlein kickoff 63 yards to the SS2, A. Eitel return 17 yards to the SS19 (L. Pekkarinen).","V,1,10,V19",K,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,1,10,SS19,"V,1,10,V19","1,1,4","RUSH:27,V22, TACK:24",S. Shannon rush for 3 yards to the SS22 (M. De Falcis).,"V,2,7,V22",R,NA,NA,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,2,7,SS22,"V,2,7,V22","1,2,5","PASS:16,C,5,V36 TACK:8","M. Winterlik pass complete to D. Meza for 14 yards to the SS36, 1ST DOWN SS (P. Seifert).","V,1,10,V36",P,P,NA,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,1,10,SS36,"V,1,10,V36","1,3,6","RUSH:27,V40, TACK:52",S. Shannon rush for 4 yards to the SS40 (W. Nasri).,"V,2,6,V40",R,NA,NA,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,2,6,SS40,"V,2,6,V40","1,4,7","RUSH:27,V42, TACK:52,92",S. Shannon rush for 2 yards to the SS42 (W. Nasri;F. Paris).,"V,3,4,V42",R,NA,NA,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,3,4,SS42,"V,3,4,V42","1,5,8","PASS:16,I,5,*",M. Winterlik pass incomplete to D. Meza.,"V,4,4,V42",P,NA,NA,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,SS,4,4,SS42,"V,4,4,V42","1,6,9","PUNT:3,H32 OB:","T. Bronn punt 26 yards to the BT32, out-of-bounds.","H,1,10,H32",U,NA,Y,NA,NA,NA,NA,NA,1,V,SS,"KO,1,15:00,19","PUNT,1,12:12,42",5,23,2:48,KO,1,15:00,SS19,PUNT,1,12:12,SS42,NA
BTSS2103,SS,BT,Stuttgart Surge,Berlin Thunder,7/4/2021,Berlin,Stadion am Wurfplatz,15:00,17:55,Y,02.55,800,26 C,no,partly cloudy,M. Scholz,B. Hansen,K. Haltermann,B. Schaumberg,Z. Hamiko,M. Hoffmann,V. Kreisman,E. Christensen,E. Christensen,BT,1,10,BT32,"H,1,10,H32","2,1,10",{DRIVE}:12:12,BERLIN THUNDER drive start at 12:12.,"H,1,10,H32",NA,NA,NA,12:12,NA,NA,NA,NA,2,H,BT,"PUNT,1,12:12,32","TD,1,08:15,100",8,68,3:57,PUNT,1,12:12,BT32,TD,1,08:15,SS00,1
