gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,first,clock,turnover,score,vscore,hscore,ob,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,1,10,BD35,"V,1,10,V35","0,1,0","CMT:C wins the coin toss, elects to receive, B to defend","C wins the coin toss, elects to receive, B to defend","V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,1,10,BD35,"V,1,10,V35","0,2,1","KO:85,H05 RET:1,H20 TACK:24","J. Llinas kickoff 60 yards to the CC5, Q. Pounds return 15 yards to the CC20 (J. Castanon).","H,1,10,H20",K,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,CC,1,10,CC20,"H,1,10,H20","1,1,2","PASS:12,C,1,H48","J. Weinreich pass complete to Q. Pounds for 28 yards to the CC48, 1ST DOWN CC.","H,1,10,H48",P,P,NA,NA,NA,NA,NA,NA,1,H,CC,"KO,1,15:00,20","PUNT,1,12:26,52",3,32,2:34,KO,1,15:00,CC20,PUNT,1,12:26,BD48,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,CC,1,10,CC48,"H,1,10,H48","1,2,3","RUSH:28,V48,",M. London rush for 4 yards to the BD48.,"H,2,6,V48",R,NA,NA,NA,NA,NA,NA,NA,1,H,CC,"KO,1,15:00,20","PUNT,1,12:26,52",3,32,2:34,KO,1,15:00,CC20,PUNT,1,12:26,BD48,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,CC,2,6,BD48,"H,2,6,V48","1,3,4","PASS:12,I,TM,*",J. Weinreich pass incomplete.,"H,3,6,V48",P,NA,NA,NA,NA,NA,NA,NA,1,H,CC,"KO,1,15:00,20","PUNT,1,12:26,52",3,32,2:34,KO,1,15:00,CC20,PUNT,1,12:26,BD48,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,CC,3,6,BD48,"H,3,6,V48","1,4,5","PUNT:9,V08 DN:","C. Ezeala punt 40 yards to the BD8, downed.","V,1,10,V08",U,NA,NA,NA,NA,NA,NA,NA,1,H,CC,"KO,1,15:00,20","PUNT,1,12:26,52",3,32,2:34,KO,1,15:00,CC20,PUNT,1,12:26,BD48,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,1,10,BD08,"V,1,10,V08","2,1,6","{DRIVE}:12:26 PASS:1,I,TM,*","BARCELONA DRAGONS drive start at 12:26, Z. Edwards pass incomplete.","V,2,10,V08",P,NA,12:26,NA,NA,NA,NA,NA,2,V,BD,"PUNT,1,12:26,8","INT,1,06:05,60",12,52,6:21,PUNT,1,12:26,BD08,INT,1,06:05,CC40,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,2,10,BD08,"V,2,10,V08","2,2,7","PASS:1,I,TM,*",Z. Edwards pass incomplete.,"V,3,10,V08",P,NA,NA,NA,NA,NA,NA,NA,2,V,BD,"PUNT,1,12:26,8","INT,1,06:05,60",12,52,6:21,PUNT,1,12:26,BD08,INT,1,06:05,CC40,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,3,10,BD08,"V,3,10,V08","2,3,8","PASS:1,I,TM,* PEN:H,PI,A,23,V10,1 NOPLAY:","Z. Edwards pass incomplete, PENALTY CC pass interference (T. Janssen) 2 yards to the BD10, 1ST DOWN BD, NO PLAY.","V,1,10,V10",E,E,NA,NA,NA,NA,NA,NA,2,V,BD,"PUNT,1,12:26,8","INT,1,06:05,60",12,52,6:21,PUNT,1,12:26,BD08,INT,1,06:05,CC40,NA
CCBD2102,BD,CC,Barcelona Dragons,Cologne Centurions,6/27/2021,Cologne,Suedstadion Koeln,15:00,,Y,-,2500,26C,14 kmh,sunny-partly cloudy,T.Denker,T.Graage,R.Lewis,M.Exposito,A.Flaisch,M.offmann,A.Sourdrille,BD,1,10,BD10,"V,1,10,V10","2,4,9","RUSH:3,V09, TACK:47",A. Jimenez rush for loss of 1 yard to the BD9 (N. Liesen).,"V,2,11,V09",R,NA,NA,NA,NA,NA,NA,NA,2,V,BD,"PUNT,1,12:26,8","INT,1,06:05,60",12,52,6:21,PUNT,1,12:26,BD08,INT,1,06:05,CC40,NA
