gameid,visid,homeid,visname,homename,date,location,stadium,start,end,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,clock,first,ob,turnover,score,vscore,hscore,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,PW35,"V,1,10,V35","0,1,0","CMT:PW wins toin coss and elects to kick, FG to defend N goal","PW wins toin coss and elects to kick, FG to defend N goal","V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,PW35,"V,1,10,V35","0,2,1",Q:1 T:15:00,"Start of 1st quarter, clock 15:00.","V,1,10,V35",#,15:00,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,PW35,"V,1,10,V35","0,3,2","KO:11,H00 TB:","D. Panczyszyn kickoff 65 yards to the FG0, touchback.","H,1,10,H25",K,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,FG,1,10,FG25,"H,1,10,H25","1,1,3","RUSH:7,H28, TACK:94",J. Sullivan rush for 3 yards to the FG28 (K. Brauns).,"H,2,7,H28",R,NA,NA,NA,NA,NA,NA,NA,1,H,FG,"KO,1,15:00,25","PUNT,1,13:22,24",3,-1,1:38,KO,1,15:00,FG25,PUNT,1,13:22,FG24,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,FG,2,7,FG28,"H,2,7,H28","1,2,4","RUSH:22,H24, TACK:8",G. Ameln rush for loss of 4 yards to the FG24 (H. Ogrodowcyk).,"H,3,11,H24",R,NA,NA,NA,NA,NA,NA,NA,1,H,FG,"KO,1,15:00,25","PUNT,1,13:22,24",3,-1,1:38,KO,1,15:00,FG25,PUNT,1,13:22,FG24,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,FG,3,11,FG24,"H,3,11,H24","1,3,5","PASS:7,I,13,*",J. Sullivan pass incomplete to M. Rutsch.,"H,4,11,H24",P,NA,NA,NA,NA,NA,NA,NA,1,H,FG,"KO,1,15:00,25","PUNT,1,13:22,24",3,-1,1:38,KO,1,15:00,FG25,PUNT,1,13:22,FG24,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,FG,4,11,FG24,"H,4,11,H24","1,4,6","PUNT:82,H49",H. Schwarz punt 25 yards to the FG49.,"V,1,10,H49",U,NA,NA,NA,NA,NA,NA,NA,1,H,FG,"KO,1,15:00,25","PUNT,1,13:22,24",3,-1,1:38,KO,1,15:00,FG25,PUNT,1,13:22,FG24,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,FG49,"V,1,10,H49","2,1,7",{DRIVE}:13:22,PANTHERS WROCLAW drive start at 13:22.,"V,1,10,H49",NA,13:22,NA,NA,NA,NA,NA,NA,2,V,PW,"PUNT,1,13:22,51","PUNT,1,10:34,56",4,5,2:48,PUNT,1,13:22,FG49,PUNT,1,10:34,FG44,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,FG49,"V,1,10,H49","2,2,8","RUSH:24,H46, TACK:99",M. Herndon rush for 3 yards to the FG46 (K. Maier).,"V,2,7,H46",R,NA,NA,NA,NA,NA,NA,NA,2,V,PW,"PUNT,1,13:22,51","PUNT,1,10:34,56",4,5,2:48,PUNT,1,13:22,FG49,PUNT,1,10:34,FG44,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,2,7,FG46,"V,2,7,H46","2,3,9","RUSH:24,H48, TACK:90,99 PEN:H,PF,A,56,H33,1 NOPLAY:","M. Herndon rush for loss of 2 yards to the FG48 (M. A. Hor;K. Maier), PENALTY FG personal foul (S. Silva Gomez) 13 yards to the FG33, 1ST DOWN PW, NO PLAY.","V,1,10,H33",E,NA,E,NA,NA,NA,NA,NA,2,V,PW,"PUNT,1,13:22,51","PUNT,1,10:34,56",4,5,2:48,PUNT,1,13:22,FG49,PUNT,1,10:34,FG44,NA
FGPW2103,PW,FG,Panthers Wroclaw,Frankfurt Galaxy,7/4/2021,Frankfurt,PSD Bank Arena,15:00,18:35,3:35,1800,25 degr.,SW11km/h,rainy w risk tstorm,T. Denker,M. Kattilus,H. Horak,S. Richardson,D. Jurzyk,A. Flaisch-J.,A. Sourdrille,PW,1,10,FG33,"V,1,10,H33","2,4,10","RUSH:55,H47, FUMB:V,H47,TM","R. Rogaczewski rush for loss of 14 yards to the FG47, fumble by R. Rogaczewski recovered by PW TEAM at FG47.","V,2,24,H47",R,NA,NA,NA,NA,NA,NA,NA,2,V,PW,"PUNT,1,13:22,51","PUNT,1,10:34,56",4,5,2:48,PUNT,1,13:22,FG49,PUNT,1,10:34,FG44,NA
