gameid,visid,homeid,visname,homename,date,location,stadium,start,end,leaguegame,duration,attend,temp,wind,weather,ref,ump,line,lj,bj,fj,sj,hasball,down,togo,spot,context,playid,tokens,desc,newcontext,type,clock,ob,first,score,vscore,hscore,turnover,drive_number,drive_vh,drive_team,drive_start,drive_end,drive_plays,drive_yards,drive_top,drive_start_how,drive_start_qtr,drive_start_time,drive_start_spot,drive_end_how,drive_end_qtr,drive_end_time,drive_end_spot,drive_rz
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG35,"V,1,10,V35","0,1,0","CMT:FG wins toss, elects to receive, SS to defend W goal","FG wins toss, elects to receive, SS to defend W goal","V,1,10,V35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG35,"V,1,10,V35","0,2,1","POSS: SPOT:H,H35,Y","Change of possession, SS ball on SS35.","H,1,10,H35",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,SS,1,10,SS35,"H,1,10,H35","1,1,2","KO:3,V00 TB:","T. Bronn kickoff 65 yards to the FG0, touchback.","V,1,10,V25",K,NA,NA,NA,NA,NA,NA,NA,1,H,SS,"POSS,1,15:00,35","KO,1,15:00,35",0,0,0:00,POSS,1,15:00,SS35,KO,1,15:00,SS35,NA
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG25,"V,1,10,V25","2,1,3","{DRIVE}:15:00 PASS:7,C,84,V31 OB:","FRANKFURT GALAXY drive start at 15:00, J. Sullivan pass complete to C. Sow for 6 yards to the FG31, out-of-bounds.","V,2,4,V31",P,15:00,Y,NA,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,4,FG31,"V,2,4,V31","2,2,4","RUSH:84,V31, TACK:45 PEN:V,OH,A,TM,V12,N","C. Sow rush for no gain to the FG31 (N. Hamulic), PENALTY FG OH 19 yards to the FG12.","V,2,23,V12",R,NA,NA,NA,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,2,23,FG12,"V,2,23,V12","2,3,5","RUSH:7,V27, OB:","J. Sullivan rush for 15 yards to the FG27, out-of-bounds.","V,3,8,V27",R,NA,Y,NA,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,3,8,FG27,"V,3,8,V27","2,4,6","RUSH:7,V48, TACK:3","J. Sullivan rush for 21 yards to the FG48, 1ST DOWN FG (T. Bronn).","V,1,10,V48",R,NA,NA,R,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,FG48,"V,1,10,V48","2,5,7","PEN:V,UH,A,TM,H48,N",PENALTY FG illegal use of hands 4 yards to the SS48.,"V,1,14,H48",E,NA,NA,NA,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,14,SS48,"V,1,14,H48","2,6,8","PASS:7,C,84,H19 OB:","J. Sullivan pass complete to C. Sow for 29 yards to the SS19, 1ST DOWN FG, out-of-bounds.","V,1,10,H19",P,NA,Y,P,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
SSFG2102,FG,SS,Frankfurt Galaxy,Stuttgart Surge,6/27/2021,Stuttgart,Gazi-Stadion,15:00,18:05,Y,2:05,750,26 C,no wind,partly cloudy,M. Scholz,D. Clemence,S. Heimerdinger,A. Ortmann,J. Scott,C. Beckmann,Y. Hamiko,FG,1,10,SS19,"V,1,10,H19","2,7,9","PASS:7,I,86,*",J. Sullivan pass incomplete to L. Regler.,"V,2,10,H19",P,NA,NA,NA,NA,NA,NA,NA,2,V,FG,"KO,1,15:00,25","TD,1,09:36,100",9,75,5:24,KO,1,15:00,FG25,TD,1,09:36,SS00,1
