team,season,win_total,over,under,true_wins,week_betsettled,actual_wins,result
ARI,2020,7.5,-110,-110,7.5,Week 15,8,Over
ARI,2019,5,-120,100,5.121995516966545,Week 17,5,Push
ARI,2018,6,-130,110,6.2335114062946095,Week 15,3,Under
ARI,2017,8.5,-160,140,9.01659020228123,Week 15,8,Under
ARI,2016,10,-170,150,10.59697060114163,Week 12,7,Under
ARI,2015,8.5,120,-140,8.164265695154667,Week 12,13,Over
ARI,2014,7.5,-175,155,8.134968607875637,Week 10,11,Over
ARI,2013,5.5,-160,125,6.016590202281231,Week 11,10,Over
ARI,2012,7,133,-170,6.40302939885837,Week 16,5,Under
ARI,2011,7,-150,120,7.429779371512001,Week 17,8,Over
ARI,2010,7.5,-140,110,7.835734304845333,Week 13,5,Under
ARI,2009,8.5,-110,-120,8.5,Week 16,10,Over
ARI,2008,7.5,NA,NA,NA,Week 14,9,Over
ARI,2007,7,-135,115,7.285710333214128,Week 17,8,Over
ARI,2006,8,110,-130,7.7664885937053905,Week 12,5,Under
ARI,2005,7,-150,120,7.429779371512001,Week 15,5,Under
ARI,2004,5.5,-130,100,5.7335114062946095,Week 17,6,Over
ARI,2003,5,125,-155,4.5259641265272155,Week 11,4,Under
ARI,2002,6,NA,NA,NA,Week 17,5,Under
ARI,2001,5,NA,NA,NA,Week 15,7,Over
ARI,2000,7,NA,NA,NA,Week 14,3,Under
ARI,1999,8,NA,NA,NA,Week 16,6,Under
ARI,1998,7.5,NA,NA,NA,Week 16,9,Over
ARI,1997,6.5,NA,NA,NA,Week 14,4,Under
ARI,1996,5.5,NA,NA,NA,Week 13,7,Over
ARI,1995,8,NA,NA,NA,Week 14,4,Under
ARI,1994,9,NA,NA,NA,Week 17,8,Under
ARI,1993,6.5,NA,NA,NA,Week 18,7,Over
ARI,1992,4.5,NA,NA,NA,Week 17,4,Under
ARI,1991,5,NA,NA,NA,Week 17,4,Under
ARI,1990,8,NA,NA,NA,Week 15,5,Under
ARI,1989,8.5,NA,NA,NA,Week 13,5,Under
ATL,2020,7.5,100,-120,7.378004483033455,Week 14,4,Under
ATL,2019,8.5,-140,120,8.835734304845333,Week 12,7,Under
ATL,2018,9.5,-120,100,9.621995516966546,Week 12,7,Under
ATL,2017,9.5,-110,-110,9.5,Week 17,10,Over
ATL,2016,7,-130,110,7.2335114062946095,Week 14,11,Over
ATL,2015,8.5,-110,-110,8.5,Week 17,8,Under
ATL,2014,8.5,150,-170,7.90302939885837,Week 14,6,Under
ATL,2013,10,100,-130,9.766488593705391,Week 10,4,Under
ATL,2012,9,-135,105,9.285710333214128,Week 12,13,Over
ATL,2011,10,-105,-125,9.821007472932445,Week 17,10,Push
ATL,2010,9.5,-115,-115,9.562347483139908,Week 13,13,Over
ATL,2009,8.5,100,-135,8.214289666785872,Week 17,9,Over
ATL,2008,4.5,NA,NA,NA,Week 9,11,Over
ATL,2007,7.5,100,-120,7.378004483033455,Week 13,4,Under
ATL,2006,8,-135,115,8.285710333214128,Week 17,7,Under
ATL,2005,9.5,110,-140,9.164265695154667,Week 16,8,Under
ATL,2004,9,-110,-120,9,Week 14,11,Over
ATL,2003,9.5,-115,-115,9.562347483139908,Week 9,5,Under
ATL,2002,7,NA,NA,NA,Week 13,9,Over
ATL,2001,5.5,NA,NA,NA,Week 11,7,Over
ATL,2000,7.5,NA,NA,NA,Week 12,4,Under
ATL,1999,10,NA,NA,NA,Week 9,5,Under
ATL,1998,7,NA,NA,NA,Week 11,14,Over
ATL,1997,6,NA,NA,NA,Week 16,7,Over
ATL,1996,8,NA,NA,NA,Week 11,3,Under
ATL,1995,7.5,NA,NA,NA,Week 15,9,Over
ATL,1994,7.5,NA,NA,NA,Week 16,7,Under
ATL,1993,8,NA,NA,NA,Week 17,6,Under
ATL,1992,9,NA,NA,NA,Week 14,6,Under
ATL,1991,7,NA,NA,NA,Week 14,10,Over
ATL,1990,5.5,NA,NA,NA,Week 15,5,Under
ATL,1989,6.5,NA,NA,NA,Week 13,3,Under
BAL,2020,11.5,120,-140,11.164265695154667,Week 12,11,Under
BAL,2019,8.5,110,-130,8.266488593705391,Week 12,14,Over
BAL,2018,8.5,-120,100,8.621995516966546,Week 16,10,Over
BAL,2017,8.5,130,-150,8.070220628487998,Week 16,9,Over
BAL,2016,8.5,-110,-110,8.5,Week 17,8,Under
BAL,2015,9,-140,120,9.335734304845333,Week 13,5,Under
BAL,2014,8.5,-120,100,8.621995516966546,Week 15,10,Over
BAL,2013,8.5,-110,-120,8.5,Week 17,8,Under
BAL,2012,10,150,-190,9.258899028487999,Week 17,10,Push
BAL,2011,10.5,110,-140,10.164265695154667,Week 16,12,Over
BAL,2010,10,-105,-125,9.821007472932445,Week 16,12,Over
BAL,2009,8.5,-150,120,8.929779371512002,Week 17,9,Over
BAL,2008,6,NA,NA,NA,Week 12,11,Over
BAL,2007,9,-140,120,9.335734304845333,Week 13,5,Under
BAL,2006,8,-130,110,8.233511406294609,Week 12,13,Over
BAL,2005,10,105,-135,9.714289666785872,Week 10,6,Under
BAL,2004,9,100,-130,8.766488593705391,Week 17,9,Push
BAL,2003,7.5,-160,130,8.01659020228123,Week 14,10,Over
BAL,2002,7,NA,NA,NA,Week 17,7,Push
BAL,2001,11,NA,NA,NA,Week 16,10,Under
BAL,2000,9,NA,NA,NA,Week 15,12,Over
BAL,1999,6.5,NA,NA,NA,Week 15,8,Over
BAL,1998,7,NA,NA,NA,Week 16,6,Under
BAL,1997,7,NA,NA,NA,Week 17,6,Under
BAL,1996,7.5,NA,NA,NA,Week 13,4,Under
