team_abbr,team_name,team_nick,team_color,team_color2,team_color3,team_color4,team_logo_wikipedia,team_logo,team_logo_dark,team_logo_scoreboard,team_logo_scoreboard_dark
ARI,Arizona Cardinals,Cardinals,#97233f,#000000,#ffb612,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/ari.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/ari.png
ATL,Atlanta Falcons,Falcons,#a71930,#000000,#a5acaf,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/atl.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/atl.png
BAL,Baltimore Ravens,Ravens,#241773,#000000,#9e7c0c,#c60c30,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/bal.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/bal.png
BUF,Buffalo Bills,Bills,#00338d,#c60c30,#0c2e82,#d50a0a,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/buf.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/buf.png
CAR,Carolina Panthers,Panthers,#0085ca,#000000,#bfc0bf,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/car.png
CHI,Chicago Bears,Bears,#0b162a,#c83803,#0b162a,#c83803,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/chi.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/chi.png
CIN,Cincinnati Bengals,Bengals,#000000,#fb4f14,#000000,#d32f1e,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/cin.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/cin.png
CLE,Cleveland Browns,Browns,#fb4f14,#22150c,#a5acaf,#d32f1e,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/cle.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/cle.png
DAL,Dallas Cowboys,Cowboys,#002244,#b0b7bc,#acc0c6,#a5acaf,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/dal.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/dal.png
DEN,Denver Broncos,Broncos,#002244,#fb4f14,#00234c,#ff5200,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/den.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/den.png
DET,Detroit Lions,Lions,#005a8b,#b0b7bc,#000000,#004e89,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/det.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/det.png
GB,Green Bay Packers,Packers,#203731,#ffb612,#1c2d25,#eead1e,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/gb.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/gb.png
HOU,Houston Texans,Texans,#03202f,#a71930,#00071c,#a30d2d,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/hou.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/hou.png
IND,Indianapolis Colts,Colts,#002c5f,#a5acaf,#013369,#9ba1a2,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/ind.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/ind.png
JAX,Jacksonville Jaguars,Jaguars,#000000,#006778,#9f792c,#d7a22a,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/jax.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/jax.png
KC,Kansas City Chiefs,Chiefs,#e31837,#ffb612,#000000,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/kc.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/kc.png
LA,Los Angeles Rams,Rams,#002244,#b3995d,#001532,#af925d,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lar.png
LAC,Los Angeles Chargers,Chargers,#002244,#0073cf,#ffb612,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lac.png
LAR,Los Angeles Rams,Rams,#002244,#b3995d,#001532,#af925d,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lar.png
LV,Las Vegas Raiders,Raiders,#a5acaf,#000000,#a6aeb0,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lv.png
MIA,Miami Dolphins,Dolphins,#008e97,#f58220,#005778,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/mia.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/mia.png
MIN,Minnesota Vikings,Vikings,#4f2683,#ffc62f,#e9bf9b,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/min.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/min.png
NE,New England Patriots,Patriots,#002244,#c60c30,#b0b7bc,#001532,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/ne.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/ne.png
NO,New Orleans Saints,Saints,#9f8958,#000000,#9f8958,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/no.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/no.png
NYG,New York Giants,Giants,#0b2265,#a71930,#a5acaf,#012352,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/nyg.png
NYJ,New York Jets,Jets,#203731,#1c2d25,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/nyj.png
OAK,Oakland Raiders,Raiders,#a5acaf,#000000,#a6aeb0,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/lv.png
PHI,Philadelphia Eagles,Eagles,#004953,#a5acaf,#acc0c6,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,https://a.espncdn.com/i/teamlogos/nfl/500-dark/scoreboard/phi.png
